dataset,variant,horizon,model,train_rows,test_rows,MAE,RMSE,R2
pilot_clean_encoded.csv,baseline,1,Linear Regression,27310,6828,10.469732042920308,18.785316579127326,0.9503788713123914
pilot_clean_encoded.csv,baseline,1,Gradient Boosting Regressor,27310,6828,10.193275447015976,18.798204654409854,0.9503107606454211
pilot_clean_encoded.csv,baseline,1,Random Forest Regressor,27310,6828,10.403035826014653,18.844325197233488,0.9500666409522673
pilot_clean_encoded.csv,baseline,1,Decision Tree Regressor,27310,6828,12.04090247810052,21.42717677951017,0.9354405967912518
pilot_clean_encoded.csv,baseline,1,SVR,8000,6828,16.083866283585373,33.81319108322768,0.8392311447840357
pilot_clean_encoded.csv,baseline,8,Gradient Boosting Regressor,27304,6827,35.32424632477251,56.08107040415368,0.5577893050948896
pilot_clean_encoded.csv,baseline,8,Random Forest Regressor,27304,6827,35.80514709414647,57.5505361703853,0.534311620004211
pilot_clean_encoded.csv,baseline,8,Linear Regression,27304,6827,37.60006577544107,58.48608428455713,0.5190479892114601
pilot_clean_encoded.csv,baseline,8,SVR,8000,6827,37.123234180144145,61.00508445622269,0.4767265274792287
pilot_clean_encoded.csv,baseline,8,Decision Tree Regressor,27304,6827,43.09715546251855,70.97227837194724,0.2917702793966369
pilot_clean_encoded.csv,baseline,24,Linear Regression,27292,6823,50.663452257207716,73.13852450639739,0.24816907642302788
pilot_clean_encoded.csv,baseline,24,Gradient Boosting Regressor,27292,6823,50.83447777862316,73.1898831165657,0.24711281916891203
pilot_clean_encoded.csv,baseline,24,Random Forest Regressor,27292,6823,52.85859572396577,75.91111000368123,0.19008679616177504
pilot_clean_encoded.csv,baseline,24,SVR,8000,6823,50.925318102910765,76.81067143953175,0.17077780402433884
pilot_clean_encoded.csv,baseline,24,Decision Tree Regressor,27292,6823,62.42833811573975,94.9544504702429,-0.2672387512883563
