horizon,model,feature,importance_mean,importance_std
1,Linear Regression,PM2.5,88.59188906401099,0.7850791129158032
1,Linear Regression,PM10,0.7622465690368869,0.03841631931140473
1,Linear Regression,NO2,0.6206490963545228,0.04620847266691714
1,Linear Regression,DEWP,0.3613224222036209,0.03719182308992987
1,Linear Regression,TEMP,0.21244237009024475,0.0454740218224169
1,Linear Regression,O3,0.1592286389775083,0.026226840259308232
1,Linear Regression,WSPM,0.09256943968295986,0.021557344875929422
1,Linear Regression,CO,0.025213975759860573,0.009212496551484085
1,Linear Regression,PRES,0.012976121731173152,0.010772845664048736
1,Linear Regression,day,3.2706515854385997e-05,6.716230318692963e-05
1,Linear Regression,month,-0.0015580888746612232,0.0069624704111156096
1,Linear Regression,SO2,-0.0027954655274520235,0.0036388885573241762
8,Gradient Boosting Regressor,PM2.5,33.384140452247735,0.6776575452875128
8,Gradient Boosting Regressor,NO2,4.450131970075394,0.4157588627271816
8,Gradient Boosting Regressor,WSPM,2.185620526317817,0.21984810184720696
8,Gradient Boosting Regressor,DEWP,2.084033507804719,0.13294678324894654
8,Gradient Boosting Regressor,month,1.2323433406976279,0.06229032606065575
8,Gradient Boosting Regressor,SO2,0.6227851142633369,0.13802856532456087
8,Gradient Boosting Regressor,O3,0.4856602125407875,0.12012775588090821
8,Gradient Boosting Regressor,TEMP,0.24786202282375314,0.12400719121305724
8,Gradient Boosting Regressor,day,0.22246941234246975,0.0909842250095616
8,Gradient Boosting Regressor,PM10,0.1909577823686533,0.20206940799078607
8,Gradient Boosting Regressor,PRES,0.18296160224192876,0.03720844357264851
8,Gradient Boosting Regressor,CO,0.15325184846141723,0.07581172717921213
24,Gradient Boosting Regressor,PM2.5,7.273243046944043,0.45350891907377927
24,Gradient Boosting Regressor,NO2,3.3425558604998487,0.21428391674093425
24,Gradient Boosting Regressor,PRES,2.5698854680739713,0.16966884265503912
24,Gradient Boosting Regressor,TEMP,1.1651110430177538,0.10295992056563018
24,Gradient Boosting Regressor,month,1.0357887183209527,0.15669533337183267
24,Gradient Boosting Regressor,WSPM,1.0347555504301398,0.12157993361434113
24,Gradient Boosting Regressor,DEWP,0.8291154500535839,0.1378404138276515
24,Gradient Boosting Regressor,O3,0.10956162475472127,0.07770237913391471
24,Gradient Boosting Regressor,day,-0.009137968476522929,0.08404796080316555
24,Gradient Boosting Regressor,SO2,-0.03715417783634223,0.2748837586510061
24,Gradient Boosting Regressor,PM10,-0.20997632274917066,0.14104049451657094
24,Gradient Boosting Regressor,CO,-0.3236890028797916,0.0934641360191549
