dataset,variant,horizon,model,train_rows,test_rows,selected_feature_count,MAE,RMSE,R2
pilot_clean_encoded.csv,selected,1,Linear Regression,27310,6828,12,10.48048097779442,18.85750608962375,0.9499967635322389
pilot_clean_encoded.csv,selected,1,Gradient Boosting Regressor,27310,6828,12,10.325313286428809,18.92398666432698,0.9496435775324853
pilot_clean_encoded.csv,selected,1,Random Forest Regressor,27310,6828,12,10.630161963820248,19.07189365905824,0.9488533451439564
pilot_clean_encoded.csv,selected,1,Decision Tree Regressor,27310,6828,12,12.126827081522768,21.7686361440617,0.9333665894888826
pilot_clean_encoded.csv,selected,1,SVR,8000,6828,12,13.157694670504366,31.8190707246822,0.8576345564181012
pilot_clean_encoded.csv,selected,8,Gradient Boosting Regressor,27304,6827,12,36.818560491734516,58.376252384286985,0.5208526671807525
pilot_clean_encoded.csv,selected,8,Linear Regression,27304,6827,12,38.38692988939606,59.20096854033193,0.5072186340017408
pilot_clean_encoded.csv,selected,8,Random Forest Regressor,27304,6827,12,37.586981720269044,60.065955729136626,0.4927133462710165
pilot_clean_encoded.csv,selected,8,SVR,8000,6827,12,37.24292210300762,61.10913352160545,0.4749400355056447
pilot_clean_encoded.csv,selected,8,Decision Tree Regressor,27304,6827,12,43.251003903912626,70.00383261705446,0.31096657720266685
pilot_clean_encoded.csv,selected,24,Gradient Boosting Regressor,27292,6823,12,51.21722121970397,73.0434527784216,0.2501223947050685
pilot_clean_encoded.csv,selected,24,Linear Regression,27292,6823,12,52.11088650585917,73.52455419746722,0.24021171100825678
pilot_clean_encoded.csv,selected,24,SVR,8000,6823,12,49.88039116580569,74.71331614208934,0.21544422899793658
pilot_clean_encoded.csv,selected,24,Random Forest Regressor,27292,6823,12,52.8814684971466,75.28813286504588,0.20332562360429596
pilot_clean_encoded.csv,selected,24,Decision Tree Regressor,27292,6823,12,59.73570793571761,89.94343016815012,-0.13701629259966275
