horizon,feature,score,selected
1,PM2.5,1.2940661870987427,True
1,PM10,0.7646640290945168,True
1,CO,0.5157159298222558,True
1,NO2,0.2909899531602287,True
1,SO2,0.16028074478982202,True
1,DEWP,0.13944366820312037,True
1,O3,0.1299717975847443,True
1,WSPM,0.08208562156541,True
1,month,0.06525406310612158,True
1,PRES,0.054253951883501905,True
1,TEMP,0.05345748545187412,True
1,day,0.025189719274943734,True
1,wd_NW,0.013894347351967262,False
1,year,0.008606381046504907,False
1,wd_SSW,0.007741324348076617,False
1,wd_ESE,0.007646034958370684,False
1,wd_NNW,0.007388549844707271,False
1,wd_S,0.006841295506181844,False
1,wd_WNW,0.006126380534898779,False
1,wd_SSE,0.005529621372350135,False
1,wd_SW,0.005298178830699385,False
1,RAIN,0.004224945578131134,False
1,wd_N,0.0035749528220296867,False
1,hour,0.0032728817525500276,False
1,wd_SE,0.0031073631041653726,False
1,station_Tiantan,0.0030197966306397817,False
1,wd_NNE,0.0019163565677997596,False
1,station_Wanshouxigong,0.0018614689454832245,False
1,station_Dingling,0.0015834775735976692,False
1,station_Shunyi,0.0014871358714607652,False
1,station_Guanyuan,0.0014736608794692074,False
1,station_Gucheng,0.001334489738778366,False
1,station_Huairou,0.0011872194393021118,False
1,station_Dongsi,0.0005995885247180865,False
1,wd_ENE,0.0,False
1,wd_NE,0.0,False
1,wd_W,0.0,False
1,wd_WSW,0.0,False
1,station_Changping,0.0,False
1,station_Nongzhanguan,0.0,False
1,station_Wanliu,0.0,False
8,PM2.5,0.47315603640635295,True
8,PM10,0.3338407910310046,True
8,CO,0.2688418212052017,True
8,NO2,0.16757659857241336,True
8,SO2,0.10590095818641121,True
8,DEWP,0.10230579690765218,True
8,O3,0.08005287743370104,True
8,WSPM,0.07306408788759722,True
8,month,0.06712023972036274,True
8,TEMP,0.052750505886664634,True
8,PRES,0.04566277216070169,True
8,day,0.022948882332296527,True
8,wd_NW,0.01769385663825762,False
8,year,0.011297151944350325,False
8,wd_NNW,0.008733151176326892,False
8,wd_S,0.00839699688615525,False
8,wd_ESE,0.0072361644661258495,False
8,wd_SSW,0.007218993023739628,False
8,wd_WNW,0.007212782724181466,False
8,wd_SSE,0.006779494481842896,False
8,wd_SW,0.006335789528374214,False
8,RAIN,0.005434917099089276,False
8,hour,0.005210104937511062,False
8,wd_SE,0.004731801108399658,False
8,wd_N,0.003865297887248431,False
8,wd_NNE,0.003311325608081006,False
8,wd_NE,0.0031451427315882796,False
8,station_Tiantan,0.0028604051850953383,False
8,wd_ENE,0.0028281781231918046,False
8,station_Dingling,0.002527743726301601,False
8,station_Changping,0.002037094620200186,False
8,station_Wanshouxigong,0.001951016827484331,False
8,station_Gucheng,0.0015470303985392064,False
8,station_Nongzhanguan,0.0012195954851579316,False
8,station_Guanyuan,0.00098583138279551,False
8,station_Dongsi,0.0007621108474982208,False
8,wd_WSW,0.0006214540094351406,False
8,station_Huairou,0.00012414502085267287,False
8,wd_W,0.0,False
8,station_Shunyi,0.0,False
8,station_Wanliu,0.0,False
24,PM2.5,0.16160233228971954,True
24,PM10,0.1243976915562861,True
24,CO,0.12244005560404414,True
24,NO2,0.09098332721164937,True
24,month,0.06573444034324538,True
24,SO2,0.061845629450735906,True
24,DEWP,0.061734173844669726,True
24,TEMP,0.048744638537570495,True
24,PRES,0.042784165132433216,True
24,O3,0.04189083130371518,True
24,WSPM,0.03561179182005603,True
24,day,0.02331776402489627,True
24,year,0.01227739867018851,False
24,wd_WNW,0.005954129848690037,False
24,wd_NW,0.005560046819709008,False
24,wd_NNW,0.00464356565525037,False
24,RAIN,0.004535900035296692,False
24,wd_WSW,0.0038620660806163443,False
24,station_Huairou,0.0034632911293996926,False
24,hour,0.0029973247689802918,False
24,wd_N,0.002760987948260407,False
24,wd_SSW,0.002729492132886868,False
24,wd_ENE,0.002724382350770327,False
24,wd_S,0.0027135730757379406,False
24,wd_SW,0.002598940327954935,False
24,wd_SSE,0.002247915885654983,False
24,station_Nongzhanguan,0.001566814198053379,False
24,wd_NE,0.0008452206585713995,False
24,station_Tiantan,0.0007567238238008756,False
24,station_Gucheng,0.000710643718992543,False
24,station_Dingling,0.0005557588058788809,False
24,station_Wanshouxigong,0.0003955612983341794,False
24,wd_SE,0.0003945266132721059,False
24,wd_NNE,4.901291734693558e-05,False
24,wd_ESE,0.0,False
24,wd_W,0.0,False
24,station_Changping,0.0,False
24,station_Dongsi,0.0,False
24,station_Guanyuan,0.0,False
24,station_Shunyi,0.0,False
24,station_Wanliu,0.0,False
